cs_company_id,matched_name,incorp_date,employees,creditworthy,credit_score,credit_limit,sector,office_type_code,common_score,currency,is_active,country_code,estimated_revenue,reg_type,profit,dbt_ltd,dbt_nltd,dbt,probability_of_default,ultimate_holding_company_identifier,ultimate_holding_company,ultimate_holding_company_country,common_score_bulk_365,credit_score_bulk_365,credit_limit_bulk_365,profit_bulk_365,estimated_revenue_bulk_365,dbt_ltd_bulk_365,dbt_nltd_bulk_365,dbt_bulk_365,probability_of_default_bulk_365,group_structure_count
IE00545762,GALSAY LIMITED,10-07-2014,,N,-33,0,M,HEAD OFFICE,not_scored,EUR,TRUE,IE,,LIMITED,,22,,22,,IE00474590,CHESWAY LIMITED,IRL,not_scored,-33,0,,,22,,22,,11
IT07826502,CAMANDONA LORENZO,26-05-2008,1,Y,58,6000,A,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,58,6000,,,,,,,0
IT07826314,A.F. COLOR E A.F. PONTEGGI DI AGOSTA FABIO,14-06-1996,,Y,52,5000,F,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,51,5000,,,,,,,0
IT07826766,CRISTOFERI MARTA,24-07-1992,1,Y,54,5000,N,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,54,5000,,,,,,,0
UK13244446,KPM AUTOMOTIVE LIMITED,27-10-2014,20,N,27,0,G,HEAD OFFICE,D,GBP,TRUE,GB,,LIMITED,,,,,,,,,D,24,0,,,,,,,2
IT07826061,GIARDINO FRANCESCA,18-08-1998,,Y,54,7000,C,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,54,7000,,,,,,,0
IT07826404,BERGANTON DANIELE,08-03-2001,2,Y,52,5000,N,HEAD OFFICE,B,,TRUE,IT,,NON LIMITED,,,,,,,,,B,52,5000,,,,,,,0
UK13225630,MJ GLEESON PLC,16-10-2014,756,Y,89,15374219,K,HEAD OFFICE,A,GBP,TRUE,GB,411582150.1739432,LIMITED,13975046.092862668,39,,39,,,,,A,87,14301599,16997450.73992899,391290564.4006974,,,,,31
IT07825865,DE MAS CRISTINA,25-02-2010,1,N,-32,0,G,HEAD OFFICE,not_scored,,FALSE,IT,,NON LIMITED,,,,,,,,,C,48,4000,,,,,,,0
UK13235336,ARCTIC HARDWARE UK LIMITED,22-10-2014,2,Y,33,1787,G,HEAD OFFICE,C,GBP,TRUE,GB,,LIMITED,,3,,3,,,,,C,36,2383,,,,,,,0
UK13288729,RENND LIMITED,17-11-2014,2,N,-18,0,C,HEAD OFFICE,not_scored,GBP,TRUE,GB,,LIMITED,,,,,,,,,not_scored,-18,0,,,6,,6,,0
